Customer Number,Customer Name,Address 1,City,State,Zip,Phone 1,Contact Person,Country,Customer Balance,Customer Class,Hold,Sales Territory,Salesperson ID
COUNTRYV0001,Country View Estates,123 Albert Ave,Palmerston North,,,06355501310000,Beth Talbot,New Zealand,32344.37,NEWZEALAND-T8,No,TERRITORY 8,IAN M.
CRAWFORD0001,"Crawfords, Inc.",321 Park Drive,Columbia,MO,65201-3322,81655501320000,Milton Olmstead,USA,9514.65,USA-ILMO-T1,No,TERRITORY 1,PAUL W.
DATACOMM0001,Data Communications Inc.,9876 112 St.,Edmonton,AB,T5P 1T1,40355501330000,Bill Menec,Canada,21883.4,CAN-ABBCYKNWTT7,No,TERRITORY 7,ERIN J.
DIALDIRE0001,Dial Direct Paging Inc.,1234 SE Marine,St. Louis,MO,63155-2343,80055501340000,Ming Zhu,USA,2584.53,USA-ILMO-T1,No,TERRITORY 1,PAUL W.
DIRECTMA0001,Direct Marketers,8765 9 St. W.,St. Paul,MN,55101-8011,61255501350000,Carlos Romero,USA,26510,USA-MNWI-T4,No,TERRITORY 4,SANDRA M.
DOLLISCO0001,Dollis Cove Resort,765 Kingway,Charlottetown,PEI,C1A 1W3,90255501360000,Phyllis Duckett,Canada,4224.49,CAN-PQMT-T5,No,TERRITORY 5,FRANCINE B.
GETAWAYI0001,Getaway Inn,234 E Cannon Ave.,Saginaw,MI,48605,51755501370000,Gayle Goodwin,USA,39950,USA-INMI-T2,No,TERRITORY 2,GREG E.
EXECUTIV0001,Executive Resources,123 Alfred St,Sydney,NSW,2000,02255501380000,Jeff Border,Australia,6867.16,AUSTRALIA-T8,No,TERRITORY 8,IAN M.
FRANCHIS0001,Franchise Office Machines,456 Sherwood Park South,Arlington Heights,IL,6004-2922,61855501390000,Customer Orders,USA,7093.12,USA-ILMO-T1,No,TERRITORY 1,PAUL W.
GREENWAY0001,Greenway Foods,87654 N 19th Avenue,Chicago,IL,60601-6363,31255501410000,Purchasing & Sales,USA,23030.33,USA-ILMO-T1,No,TERRITORY 1,PAUL W.
HAMPTONV0001,Hampton Village Eatery,234 Hampton Village,Springfield,IL,62703-1252,21755501420000,Cheryl Miner,USA,36134.74,USA-ILMO-T1,No,TERRITORY 1,PAUL W.
HEALTHYC0001,Healthy Concepts,1234 Westown Road,West Des Moines,IA,50625-4424,51555501430000,Technical Relations,USA,2168.89,USA-IAKSNE-T3,No,TERRITORY 3,NANCY B.
HEARTLAN0001,Heartland Tower Systems,9876 Stevens Street,Kansas City,MO,64108,81655501440000,John Matthews,USA,19110.54,USA-ILMO-T1,No,TERRITORY 1,PAUL W.
HOLLINGC0001,Holling Communications Inc.,123 Sugar Grove,Columbia,MO,65201-3846,81655501450000,Ed Holling,USA,31767.14,USA-ILMO-T1,No,TERRITORY 1,PAUL W.
HOMEFURN0001,Home Furnishings Limited,234 Heritage Ave.,Midland,MI,48640-9392,51755501460000,Manuel Le Hoya,USA,24125.26,USA-INMI-T2,No,TERRITORY 2,GREG E.
INTERNAT0001,International Mailing Corp.,8765 58th Street West,St. Louis,MO,63156-5902,80055501480000,Virginia O'Connell,USA,793.24,USA-ILMO-T1,No,TERRITORY 1,PAUL W.
ISNINDUS0001,ISN Industries,987 Union Circle,Lockport,IL,60441-2239,81555501490000,Sheila Crossman,USA,14978.34,USA-ILMO-T1,No,TERRITORY 1,PAUL W.
JOHNSONK0001,"Johnson, Kimberly",5678 S. 42nd Ave.,Rockford,IL,61125-6149,81555501500000,"Dr. Kimberly Johnson, M.D.",USA,47420.9,USA-ILMO-T1,No,TERRITORY 1,PAUL W.
KELLYCON0001,Kelly Consulting,123 Yeo,Melbourne,VIC,3000,03955501510000,Elizabeth Talbot,Australia,-731.94,AUSTRALIA-T8,No,TERRITORY 8,IAN M.
KENSINGT0001,Kensington Gardens Resort,12345 Redmond Rd,Milwaukee,WI,53204-9900,41455501520000,Judy Hopewell,USA,13539.5,USA-MNWI-T4,No,TERRITORY 4,SANDRA M.
LASERMES0001,Laser Messenger Service,98765 Crossway Park Dr,Bloomington,MN,55304-9840,61255501530000,Dennis Swenson,USA,17160.2,USA-MNWI-T4,No,TERRITORY 4,SANDRA M.
LAWRENCE0001,Lawrence Telemarketing,12345 21st Ave S,Lawrence,KS,66208,91355501540000,Rod Williams,USA,23642.79,USA-IAKSNE-T3,No,TERRITORY 3,NANCY B.
LECLERC0001,LeClerc & Associates,4321 West Broadway,Montreal,PQ,H4Q 6J8,50455501550000,Claire Dionne,Canada,16717.84,CAN-PQMT-T5,No,TERRITORY 5,FRANCINE B.
LEISURET0001,Leisure & Travel Consultants,City 123,Sydney,NSW,2000,02955501560000,Rodney Lawry,Australia,18012.03,AUSTRALIA-T8,No,TERRITORY 8,IAN M.
LONDONBE0001,Londonberry Nursing Home,987 Portar Street,Auckland,,,09355501570000,Troy Irving,New Zealand,0,NEWZEALAND-T8,No,TERRITORY 8,IAN M.
MAGNIFIC0001,Magnificent Office Images,987 45 Ave.,Winnipeg,MB,R2S 3S7,20455501580000,Elizabeth Swift,Canada,385.15,CAN-ONMBSK-T6,No,TERRITORY 6,GARY W.
MAHLERST0001,Mahler State University,4321 McDaniels Rd,Minneapolis,MN,55404-4000,61255501590000,Sharon Delbourne,USA,34289.3,USA-MNWI-T4,No,TERRITORY 4,SANDRA M.
MANCHEST0001,Manchester Suites,678 W Orange Ave,Lafayette,IN,47905-5855,80055501600000,,USA,26580.5,USA-INMI-T2,No,TERRITORY 2,GREG E.
BLUEYOND0001,Blue Yonder Airlines,P.O. Box 1234,Wichita,KS,67201,31655501610000,Lt. James Whitson,USA,36646.45,USA-IAKSNE-T3,No,TERRITORY 3,NANCY B.
COHOWINE0001,Coho Wintery,234 Hickman St.,Springfield,IL,62703,21755501620000,Brian Nypen,USA,2690.69,USA-ILMO-T1,No,TERRITORY 1,PAUL W.
MENDOTAU0001,Mendota University,8765 College Drive,Grand Rapids,MI,49548-3343,80055501630000,Clayton Dean,USA,36245.59,USA-INMI-T2,No,TERRITORY 2,GREG E.
METROPOL0001,Metropolitan Fiber Systems,5678 W. Jackson Ave,Milwaukee,WI,53202-5713,41455501640000,Sales Dept.,USA,32374.38,USA-MNWI-T4,No,TERRITORY 4,SANDRA M.
MIDCITYH0001,Mid-City Hospital,9876 N. Pioneer Road,Gary,IN,46401-4211,21955501650000,Glen Math,USA,34658.44,USA-INMI-T2,No,TERRITORY 2,GREG E.
MIDLANDC0001,Midland Construction,5678 Fraser Ave N.,Mishawaka,IN,46544,21955501660000,David Harris,USA,4691.73,USA-INMI-T2,No,TERRITORY 2,GREG E.
MULTITEC0001,Multitech Office Components,1234 Sunlight Place,Iowa City,IA,52230-1233,31955501670000,Sales & Service,USA,6702,USA-IAKSNE-T3,No,TERRITORY 3,NANCY B.
HUMONGOU0001,Humongous Insurance,4567 145th St NW,Omaha,NE,68107-4509,40255501680000,Brian Sweeney,USA,47001.07,USA-IAKSNE-T3,No,TERRITORY 3,NANCY B.
NATIONAL0001,National Shopping World,123 Apple Grove Square,Indianapolis,IN,46205-2393,31755501690000,Gary Backer,USA,4949.68,USA-INMI-T2,No,TERRITORY 2,GREG E.
NETWORKS0001,Network Solutions,PO Box 2345,Lake Zurich,IL,60047-1115,31255501700000,Roseanne Polk,USA,23079.33,USA-ILMO-T1,No,TERRITORY 1,PAUL W.
NORTHCOL0001,North College,Business Office,Fort Wayne,IN,46802-3313,21955501710000,Vivian Lang,USA,17587.91,USA-INMI-T2,No,TERRITORY 2,GREG E.
NORTHERN0001,Northern State College,234 Lee Ridge Road,Chicago,IL,60604-2670,31255501720000,Steven Chang,USA,27111.91,USA-ILMO-T1,No,TERRITORY 1,PAUL W.
NORTHERN0002,Northern Family Hospital,987 Royal Park Centre,St. John's,NF,A1C 1K4,70955501735000,Ellen McDonald,Canada,19847.36,CAN-PQMT-T5,No,TERRITORY 5,FRANCINE B.
NORTHSTA0001,Northstar Mall,5432 Principal Ave.,Mankato,MN,56001,51755501740000,General Office,USA,23396.17,USA-MNWI-T4,No,TERRITORY 4,SANDRA M.
NOVASCOT0001,Novia Scotia Tech. Institute,543 Abbot Ave.,Halifax,NS,B5P 7D7,80055501750000,Stephen Porter,Canada,16816.61,CAN-PQMT-T5,No,TERRITORY 5,FRANCINE B.
NOVASYST0001,"Nova Systems, Inc.",123 W. Nichols Rd,St. Paul,MN,55104,61255501760000,Fred Wagner,USA,2168.49,USA-MNWI-T4,No,TERRITORY 4,SANDRA M.
OCTAGONM0001,Octagon Marketing Org.,1234 Redwood Trail,Indianapolis,IN,46206-1099,31755501770000,Dean Johnson,USA,0,USA-INMI-T2,No,TERRITORY 2,GREG E.
OFFICEDE0001,Office Design Systems Ltd,Place 123 Suite 3,Winnipeg,MB,R3M 2G6,20455501780000,Bernard Bakke,Canada,76479.78,CAN-ABBCYKNWTT7,No,TERRITORY 7,ERIN J.
PACIFICD0001,Pacific Digital,76543 Commerical Street,Independence,MO,64501,81655501790000,James Tweed,USA,24331.66,USA-ILMO-T1,No,TERRITORY 1,PAUL W.
PLACEMAD0001,Place & MacDero Associates,9876 Willingdon,Calgary,AB,T2P 4B9,40355501800000,Phillip Stewart,Canada,16024.65,CAN-ABBCYKNWTT7,No,TERRITORY 7,ERIN J.
PLACEONE0001,Place One Suites,4567 East River Road,Vancouver,BC,V6C 3J9,60455501810000,Roger Bridges,Canada,41704.82,CAN-ABBCYKNWTT7,No,TERRITORY 7,ERIN J.
PLAZAONE0001,Plaza One,2345 42 St. W,Woodbury,MN,55119,61255501820000,Mike Unjhem,USA,13165.09,USA-MNWI-T4,No,TERRITORY 4,SANDRA M.
POLKVALL0001,Polk Valley Highway Dept.,Rural Route 123 Box 45G,McHenry,IL,60050,81555501830000,Administration Office,USA,21461.08,USA-ILMO-T1,No,TERRITORY 1,PAUL W.
PULASKIE0001,Pulaski Enterprises Inc.,3456 E. Main Parkway,Duluth,MN,55806,21855501840000,Mary Jo Bancroft,USA,8540.28,USA-MNWI-T4,No,TERRITORY 4,SANDRA M.
RAINBOWR0001,Rainbow Research,3456 N. Jupiter St,St Louis,MO,63156-3427,31455501850000,Darla Juhl,USA,40568.07,USA-ILMO-T1,No,TERRITORY 1,PAUL W.
REDSFOOD0001,Red's Food Market,8765 W. Cordoba Way,Kansas City,MO,64108-1862,81655501860000,Bill Polaski,USA,2560.34,USA-ILMO-T1,No,TERRITORY 1,PAUL W.
MARGIEST0001,Margie's Travel,6789 82 Ave S.,Minneapolis,MN,55402-1249,61255501870000,Ruth Hunter,USA,9637.82,USA-MNWI-T4,No,TERRITORY 4,SANDRA M.
REYNOLDS0001,Reynolds State College,456 College Drive,Benton Harbor,MI,49022-9090,61655501880000,Alan Swedburg,USA,29706.26,USA-INMI-T2,No,TERRITORY 2,GREG E.
DOWNTOWN001,Downtown Hotel,987 Chestnut Avenue,Chicago,IL,60618-2991,31255501890000,Yolanda Neilson,,36633.83,USA-ILMO-T1,No,TERRITORY 1,PAUL W.
RIVERSID0001,Riverside University,5678 Herman St.,Vancouver,BC,V6E 3J7,60455501900000,Morgan Bishop,Canada,36555.1,CAN-ABBCYKNWTT7,No,TERRITORY 7,ERIN J.
ROSELLEN0001,Rosellen General Hospital,8765 Barclay St.,Regina,SK,S7K 5C7,30655501910000,Charalee Williams,Canada,16246.53,CAN-ONMBSK-T6,No,TERRITORY 6,GARY W.
SINCLAIR0001,Sinclair State University,SSU Box 123,Arlington Heights,IL,60004-6122,80055501930000,Victor Gage,USA,0,USA-ILMO-T1,No,TERRITORY 1,PAUL W.
SNELLING0001,Snelling Communications Inc.,4321 East Wisconsin Ave.,Chicago,IL,60604-4100,31255501940000,Loren Shay,USA,0,USA-ILMO-T1,No,TERRITORY 1,PAUL W.
SSPROPER0001,S & S Properties,1234 S. Roberts St.,Detroit,MI,48233-2190,31355501960000,Kim Lucas,USA,28076.47,USA-INMI-T2,No,TERRITORY 2,GREG E.
STMARYHO0001,St. Mary's Hospital,2345 N. River Dr.,Milwaukee,WI,53203-2323,41455501970000,Service Dept.,USA,0,USA-MNWI-T4,No,TERRITORY 4,SANDRA M.
STPATRIC0001,St. Patrick's Hospital,234 Phillip,Melbourne,VIC,3000,03955501980000,Anne Bennet,Australia,30623.84,AUSTRALIA-T8,No,TERRITORY 8,IAN M.
SUPERFOO0001,Super Foods Plus,6543 N.E. Pusher Rd.,Detroit,MI,48233-1232,31355501990000,Isaac Frye,USA,1266.39,USA-INMI-T2,No,TERRITORY 2,GREG E.
UNIFIEDW0001,Unified Wire and Cable Systems,123 N. Meriam Ave,Grand Rapids,MI,49548,61655501000000,Todd Quinn,USA,8989.19,USA-INMI-T2,No,TERRITORY 2,GREG E.
VANCOUVE0001,Vancouver Resort Hotels,432 12 Ave. North,Vancouver,BC,V6E 3J7,60455501020000,Wilson Jones,Canada,59656.42,CAN-ABBCYKNWTT7,No,TERRITORY 7,ERIN J.
VISIONIN0001,Vision Inc.,123 S.W.  49 Ave,Indianapolis,IN,46206-1222,31755501040000,Julius Gochian,USA,66947.65,USA-INMI-T2,No,TERRITORY 2,GREG E.
VISTATRA0001,Vista Travel,5678 Broadway,Saskatoon,SK,S5S 6W9,30655501050000,Beth Carr,Canada,22677.06,CAN-ONMBSK-T6,No,TERRITORY 6,GARY W.
WESTCENT0001,West Central Distributors,1234 2nd Street,Rockford,IL,61126-3214,81555501060000,Service Department,USA,99.75,USA-ILMO-T1,No,TERRITORY 1,PAUL W.
WESTSIDE0001,Westside Cable Service,123 Domino St. N,Lansing,MI,48924-9237,51755501070000,Pam Lockwood,USA,9265.48,USA-INMI-T2,No,TERRITORY 2,GREG E.
WORLDENT0001,World Enterprises,987 Office Plaza Drive,Detroit,MI,48233-4832,31355501090000,Service Center,USA,46899.02,USA-INMI-T2,No,TERRITORY 2,GREG E.
SVCRETURN01,Service,,,,,,,,0,,No,,
FABRETURN01,Fabrikam Returns,4277 West Oak Parkway,Chicago,IL,60601,31243626710000,Returns Dept.,United States,0,,No,,
TANYA,Tanya Henderson,Belinda's Best Friend,Park City,UT,,,,,0,,No,,
